a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,m14,o15
0,so_showers_gulag,SPECIAL_OPS_SO_SHOWERS_GULAG,SPECIAL_OPS_SO_SHOWERS_GULAG_DESC,levelshot_so_showers_gulag,MENU_SP_TYPE_ASSAULT,4,1:30,MENU_SP_NOTE_SLOW_MO_BREACH,s0,0:17.00,1,,so_charlie,1,
1,so_killspree_invasion,SPECIAL_OPS_SO_KILLSPREE_INVASION,SPECIAL_OPS_SO_KILLSPREE_INVASION_DESC,levelshot_so_killspree_invasion,MENU_SP_TYPE_KILLSPREE,3,2:30,,s1,1:16.20,1,,so_bravo,1,
2,so_ac130_co_hunted,SPECIAL_OPS_SO_AC130_CO_HUNTED,SPECIAL_OPS_SO_AC130_CO_HUNTED_DESC,levelshot_so_ac130_co_hunted,MENU_SP_TYPE_TIMED_ESCORT,2,1:30,MENU_SP_NOTE_TWO_PLAYERS_REQUIRED,s2,0:35.45,2,SPECIAL_OPS_SO_SELECT_AC130_GUNNER,so_bravo,1,SPECIAL_OPS_SO_AC130_CO_HUNTED_OBJ_DESC
3,so_killspree_favela,SPECIAL_OPS_SO_KILLSPREE_FAVELA,SPECIAL_OPS_SO_KILLSPREE_FAVELA_DESC,levelshot_so_killspree_favela,MENU_SP_TYPE_KILLSPREE,2,2:30,,s3,1:16.20,1,,so_alpha,1,SPECIAL_OPS_SO_KILLSPREE_FAVELA_OBJ_DESC
4,so_assault_oilrig,SPECIAL_OPS_SO_ASSAULT_OILRIG,SPECIAL_OPS_SO_ASSAULT_OILRIG_DESC,levelshot_so_assault_oilrig,MENU_SP_TYPE_ASSAULT,5,5:00,MENU_SP_NOTE_SLOW_MO_BREACH,s4,3:10.30,1,,so_echo,1,
5,so_defense_invasion,SPECIAL_OPS_SO_DEFENSE_INVASION,SPECIAL_OPS_SO_DEFENSE_INVASION_DESC,levelshot_so_defense_invasion,MENU_SP_TYPE_WAVE_DEFENSE,4,11:00,,s5,7:31.20,1,,so_charlie,1,
6,so_escape_airport,SPECIAL_OPS_SO_ESCAPE_AIRPORT,SPECIAL_OPS_SO_ESCAPE_AIRPORT_DESC,levelshot_so_escape_airport,MENU_SP_TYPE_ASSAULT,4,4:00,,s6,0:36.40,1,,so_delta,1,
7,so_forest_contingency,SPECIAL_OPS_SO_FOREST_CONTINGENCY,SPECIAL_OPS_SO_FOREST_CONTINGENCY_DESC,levelshot_so_forest_contingency,MENU_SP_TYPE_STEALTH,2,3:00,,s7,0:43.65,1,,so_alpha,1,
8,so_download_arcadia,SPECIAL_OPS_SO_DOWNLOAD_ARCADIA,SPECIAL_OPS_SO_DOWNLOAD_ARCADIA_DESC,levelshot_so_download_arcadia,MENU_SP_TYPE_ASSAULT_DEFEND,4,9:00,,s8,3:25.25,1,,so_delta,1,
9,so_demo_so_bridge,SPECIAL_OPS_SO_DEMO_SO_BRIDGE,SPECIAL_OPS_SO_DEMO_SO_BRIDGE_DESC,levelshot_so_demo_so_bridge,MENU_SP_TYPE_VEHICLE_KILLSPREE,3,3:30,,s9,1:40.40,1,,so_delta,1,
